7,3/31/2014,Q1 2014,,,,,,,,424,"1,292","2,170","3,047","3,905","4,771","5,647","6,522","7,386","8,250","9,123","9,995","10,845","11,706","12,574","13,442","14,288","15,142","16,005","16,867","17,707","18,554","19,408","20,259",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6/30/2014,Q2 2014,,,,,,,,,483,"1,461","2,439","3,395","4,362","5,338","6,313","7,278","8,241","9,215","10,187","11,137","12,096","13,065","14,033","14,978","15,931","16,894","17,856","18,795","19,742","20,695","21,647",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9/30/2014,Q3 2014,,,,,,,,,,493,"1,472","2,429","3,395","4,372","5,348","6,313","7,278","8,251","9,225","10,176","11,137","12,106","13,076","14,022","14,978","15,942","16,905","17,845","18,795","19,752","20,706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12/31/2014,Q4 2014,,,,,,,,,,,759,"2,232","3,720","5,224","6,726","8,212","9,697","11,197","12,694","14,160","15,639","17,133","18,625","20,084","21,556","23,043","24,526","25,975","27,438","28,915","30,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3/31/2015,Q1 2015,,,,,,,,,,,,569,"1,735","2,914","4,092","5,256","6,420","7,596","8,771","9,918","11,079","12,251","13,421","14,564","15,720","16,886","18,050","19,187","20,334","21,493","22,650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6/30/2015,Q2 2015,,,,,,,,,,,,,854,"2,585","4,316","6,026","7,735","9,463","11,189","12,876","14,580","16,303","18,023","19,704","21,400","23,115","24,827","26,500","28,186","29,890","31,591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9/30/2015,Q3 2015,,,,,,,,,,,,,,684,"2,040","3,381","4,721","6,075","7,428","8,751","10,088","11,438","12,787","14,106","15,437","16,781","18,125","19,437","20,762","22,098","23,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,12/31/2015,Q4 2015,,,,,,,,,,,,,,,"1,127","3,338","5,547","7,780","10,011","12,192","14,396","16,623","18,847","21,023","23,219","25,438","27,652","29,818","32,004","34,211","36,413",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3/31/2016,Q1 2016,,,,,,,,,,,,,,,,"1,088","3,269","5,474","7,677","9,830","12,007","14,205","16,403","18,549","20,720","22,911","25,101","27,238","29,399","31,580","33,758",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6/30/2016,Q2 2016,,,,,,,,,,,,,,,,,"1,268","3,837","6,405","8,915","11,452","14,015","16,577","19,081","21,609","24,166","26,719","29,213","31,731","34,277","36,817",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,9/30/2016,Q3 2016,,,,,,,,,,,,,,,,,,"1,890","5,638","9,303","13,006","16,748","20,487","24,143","27,837","31,566","35,296","38,939","42,619","46,332","50,046",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,12/31/2016,Q4 2016,,,,,,,,,,,,,,,,,,,"1,730","5,086","8,479","11,906","15,331","18,679","22,063","25,482","28,895","32,235","35,607","39,013","42,412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3/31/2017,Q1 2017,,,,,,,,,,,,,,,,,,,,"1,259","3,840","6,448","9,055","11,603","14,177","16,779","19,379","21,919","24,487","27,079","29,670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,6/30/2017,Q2 2017,,,,,,,,,,,,,,,,,,,,,"1,206","3,649","6,092","8,480","10,893","13,331","15,767","18,149","20,554","22,986","25,414",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,9/30/2017,Q3 2017,,,,,,,,,,,,,,,,,,,,,,"1,870","5,578","9,204","12,868","16,570","20,269","23,886","27,541","31,230","34,921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,12/31/2017,Q4 2017,,,,,,,,,,,,,,,,,,,,,,,"1,702","5,005","8,342","11,714","15,084","18,379","21,708","25,072","28,431",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,3/31/2018,Q1 2018,,,,,,,,,,,,,,,,,,,,,,,,"2,177","6,639","11,148","15,654","20,059","24,511","29,008","33,503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,6/30/2018,Q2 2018,,,,,,,,,,,,,,,,,,,,,,,,,"3,308","10,011","16,713","23,263","29,882","36,571","43,255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,9/30/2018,Q3 2018,,,,,,,,,,,,,,,,,,,,,,,,,,"8,847","26,390","43,545","60,878","78,392","95,894",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,12/31/2018,Q4 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,809","28,835","48,067","67,495","86,912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,3/31/2019,Q1 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,789","11,557","19,407","27,251",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,6/30/2019,Q2 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,682","20,223","33,760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,9/30/2019,Q3 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,980","5,906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,12/31/2019,Q4 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,926",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cumulative US vehicle years,,32,398,"1,642","4,152","7,856","12,511","17,911","24,292","31,723","40,393","50,169","61,492","74,484","89,265","106,059","125,201","147,717","173,803","202,222","233,447","268,085","306,231","347,325","394,404","454,161","532,369","622,027","723,220","834,235","949,333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foreign vehicle years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9/30/2013,Q3 2013,,,,,,177,528,871,"1,217","1,567","1,917","2,259","2,605","2,953","3,302","3,646","3,990","4,337","4,683","5,022","5,364","5,708","6,052","6,387","6,725","7,066","7,406","7,737","8,071","8,582","8,935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12/31/2013,Q4 2013,,,,,,,429,"1,260","2,101","2,950","3,798","4,627","5,465","6,311","7,156","7,991","8,825","9,668","10,508","11,329","12,158","12,995","13,830","14,644","15,466","16,294","17,120","17,925","18,737","19,554","20,792",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3/31/2014,Q1 2014,,,,,,,,358,"1,091","1,831","2,571","3,295","4,026","4,764","5,502","6,230","6,958","7,693","8,428","9,144","9,868","10,599","11,329","12,041","12,758","13,483","14,204","14,909","15,618","16,334","17,047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6/30/2014,Q2 2014,,,,,,,,,455,"1,377","2,298","3,199","4,109","5,029","5,947","6,855","7,761","8,677","9,592","10,486","11,387","12,297","13,207","14,095","14,991","15,893","16,794","17,672","18,559","19,451","20,342",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9/30/2014,Q3 2014,,,,,,,,,,491,"1,465","2,416","3,378","4,350","5,321","6,280","7,239","8,206","9,174","10,119","11,073","12,035","12,997","13,936","14,884","15,840","16,794","17,724","18,662","19,608","20,551",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12/31/2014,Q4 2014,,,,,,,,,,,485,"1,424","2,374","3,334","4,293","5,241","6,187","7,144","8,099","9,033","9,975","10,927","11,877","12,805","13,742","14,689","15,633","16,552","17,481","18,417","19,351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3/31/2015,Q1 2015,,,,,,,,,,,,646,"1,971","3,310","4,648","5,970","7,291","8,626","9,959","11,261","12,578","13,907","15,234","16,529","17,837","19,158","20,478","21,764","23,061","24,371","25,675",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6/30/2015,Q2 2015,,,,,,,,,,,,,573,"1,734","2,894","4,040","5,186","6,344","7,500","8,631","9,772","10,925","12,077","13,202","14,337","15,483","16,628","17,746","18,874","20,010","21,145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9/30/2015,Q3 2015,,,,,,,,,,,,,,783,"2,336","3,871","5,406","6,955","8,504","10,018","11,547","13,090","14,633","16,140","17,662","19,198","20,731","22,229","23,742","25,267","26,788",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12/31/2015,Q4 2015,,,,,,,,,,,,,,,"1,062","3,144","5,225","7,327","9,428","11,482","13,556","15,652","17,744","19,790","21,855","23,941","26,022","28,055","30,109","32,182","34,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3/31/2016,Q1 2016,,,,,,,,,,,,,,,,744,"2,237","3,744","5,251","6,724","8,212","9,715","11,217","12,684","14,166","15,663","17,158","18,617","20,090","21,578","23,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6/30/2016,Q2 2016,,,,,,,,,,,,,,,,,515,"1,558","2,600","3,619","4,649","5,689","6,728","7,744","8,769","9,805","10,840","11,851","12,871","13,901","14,929",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
